,username,comments,user_channelid,posted_at,updated_at,likes,replies,reply
30,Geert Beuneker,"<a href=""https://youtu.be/JYs_94znYy0?t=63"">https://youtu.be/JYs_94znYy0?t=63</a> I saw you typgin that .js extension, force of habit I guess",UCDC8HO7po2Q3htv1hLNGPLw,2022-05-20T05:05:52Z,2022-05-20T05:05:52Z,0,0,
31,Sevi Deveroux,What the f did I just watched.,UCiLfxOdkEiszJc0G92Xnc8w,2022-05-20T05:03:56Z,2022-05-20T05:03:56Z,0,0,
32,SHYKIE,"I don&#39;t know if it&#39;s been said. but, Fireship is like the sseth of programming",UCs-ejYMaK-6jaESRZGehIcw,2022-05-20T04:49:50Z,2022-05-20T04:49:50Z,0,0,
33,letskhabar,"<a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=1m03s"">1:03</a>",UC2y4pWo0cAbMiS5q7tkfH5w,2022-05-20T04:29:20Z,2022-05-20T04:29:20Z,0,0,
34,senthil,Do video for rajini++,UC5kDTivhIO14IE_twkz9zfA,2022-05-20T04:04:05Z,2022-05-20T04:04:05Z,0,0,
35,Ilia Glizerin,whatever,UCJEQ57gReYmNk1DkfpUEi5g,2022-05-20T04:00:02Z,2022-05-20T04:00:02Z,0,0,
36,josh mcgee,"native linear algebra like Matlab? That&#39;s all I need, I&#39;m sold",UCzq5grVWAnSA9OOxpzzOFlA,2022-05-20T03:55:37Z,2022-05-20T03:55:37Z,0,0,
37,dshan,Why other languages do not have the multiple dispatch feature?,UCe7jMlmfOAJFsD9RrHamUiA,2022-05-20T03:36:54Z,2022-05-20T03:37:13Z,0,0,
38,im sleepy,I FUCKING LOVE JULIA,UC1jvdOOXG9Lt4-NxSIV96UA,2022-05-20T03:36:25Z,2022-05-20T03:36:25Z,2,0,
39,Lucas,"In simple terms, it&#39;s a better version of python.",UCYKwKPDCtIMzUqJ2ar7S_3w,2022-05-20T03:31:48Z,2022-05-20T03:31:48Z,1,0,
40,Frédéric Chopin,"You forgot one important point, arrays in Julia start at index 1 LOL",UCodfQtsnMXCeP7m8mo8ooog,2022-05-20T02:52:17Z,2022-05-20T02:52:17Z,0,0,
41,Light3039,Function stuff was a lot like c++,UC6OS2c8irjWxGie2HJRNYcg,2022-05-20T02:49:45Z,2022-05-20T02:49:45Z,0,0,
42,Sorry I'm Late,"Wait, I thought Julia syntax was borrowed heavily from Lua.<br>Even think, it&#39;s a faster Lua JIT but with typing system.",UCin6VQCU7wnlAU8W-eb3aKw,2022-05-20T02:44:38Z,2022-05-20T02:44:38Z,1,0,
43,Bobby,"<a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=1m03s"">1:03</a> LOL ... JS - force of habit, i guess",UCPN3wsy0aBwivTnhWDbzmKQ,2022-05-20T02:40:25Z,2022-05-20T02:40:25Z,0,0,
44,Encamped Mars,Would love if you could make a video on Obj-C,UCoe6YV5wYnKaTEE23PX8gyA,2022-05-20T02:38:27Z,2022-05-20T02:38:27Z,0,0,
45,skylerdj,idk who julia is but she looks on cracks,UCM5ZDV_CuxLBliLiBwEX2qQ,2022-05-20T02:23:08Z,2022-05-20T02:23:08Z,0,0,
46,Kira Yamato,Yea PI. Btw how can you type the PI symbol?,UCfHfNTXosamhujqoaIUFcnQ,2022-05-20T02:10:57Z,2022-05-20T02:10:57Z,0,0,
47,sheveksmath,"Is &#39;multiple dispatch&#39; similar to method overloading in OO languages, or is there a nuance I&#39;m missing?",UCDgv2yBSwbb7Ql0gubMOavQ,2022-05-20T01:43:43Z,2022-05-20T01:43:43Z,0,0,
48,Arman Daneshjoo,Julia&#39;s ok. Fireship&#39;s amazing.,UCAxSQBflBlF4dhU4iwCEFtg,2022-05-20T01:38:39Z,2022-05-20T01:38:39Z,0,0,
49,Gary Waddell,"Listen closely to Jeff’s voice…he sounds like AI, he was written in Julia",UCGkdwg40oEdAbhpMr_KA9Kg,2022-05-20T01:21:21Z,2022-05-20T01:21:21Z,0,0,
50,Greg Hetherington,Thank you <br>Excellent work <br>I was always curious about Julia,UCPu2GPYmTXS4tR53sSRztDg,2022-05-20T01:00:24Z,2022-05-20T01:00:24Z,0,0,
51,snek,Finally a new video on a programming language and not on some JavaScript application,UCfznqVgT75_H87XgdPcQLng,2022-05-20T00:54:16Z,2022-05-20T00:54:16Z,0,0,
52,Quix Nix,"bruh, i gotta learn this",UCaym30u5pejbWEGbihd_5IQ,2022-05-20T00:50:22Z,2022-05-20T00:50:22Z,0,0,
53,Brian Evans,Wish they taught me how to use Julia at university,UCus-an-3rlmvIpicEM-pSPg,2022-05-20T00:42:45Z,2022-05-20T00:42:45Z,0,0,
54,Doing Well,not a multiple dispatch but Polymorphism,UClBDPY11iw19QS1p1fL6eDA,2022-05-20T00:37:30Z,2022-05-20T00:37:30Z,0,0,
55,Bot Contador,that&#39;s what I am talking about.... Loved it.,UC1mZxTAB8IHcSpdH9og_O0Q,2022-05-20T00:25:19Z,2022-05-20T00:25:19Z,0,0,
56,Alejandro Tevez,FORTRAN when?,UCUnP92HrbG2fAnv0mDAIhgg,2022-05-20T00:23:31Z,2022-05-20T00:23:31Z,0,0,
57,Guilherme Joviniano,"i&#39;m going to learn that language, this video was very interesant to me thank u",UC10kXD92xO16uFcdEt1k6KA,2022-05-20T00:18:01Z,2022-05-20T00:18:01Z,0,0,
58,Ar Al,Could you please make a video on Idris?,UCIBpq5Yq5sqc34RxsJsbsGA,2022-05-20T00:07:10Z,2022-05-20T00:07:10Z,0,0,
